Generated for com.unity.probuilder@file:/Users/amylouise/Documents/gitmore/com.unity.probuilder
Generated on: 2021-09-15 12:22:21 PM

====================================

Build succeeded with warning.
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Shape.yml#L2)Invalid file link:(~/manual/shape-tool.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ProBuilderMesh.yml#L6)Invalid file link:(~/manual/gloss.html#coincident).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Torus.yml#L2)Invalid file link:(~/manual/Torus.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Stairs.yml#L2)Invalid file link:(~/manual/Stairs.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Cube.yml#L2)Invalid file link:(~/manual/Cube.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Cone.yml#L2)Invalid file link:(~/manual/Cone.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.MeshTransform.yml#L4)Invalid file link:(~/manual/CenterPivot.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.MeshTransform.yml#L5)Invalid file link:(~/manual/Vert_SetPivot.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.MeshTransform.yml#L4)Invalid file link:(~/manual/Freeze_Transform.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.WingedEdge.yml#L6)Invalid file link:(~/manual/gloss.html#coincident).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.Actions.CutToolToggle.yml#L2)Invalid file link:(~/manual/toolbar.html).
